,,cost,cost,cost,cost,time,time,time,time,bb_time,heuristic_time,nodes_explored,nodes_explored,nodes_explored,optimal,optimal,heuristic_calls,heuristic_improvements,heuristic_efficiency
,,mean,min,std,count,mean,min,max,std,mean,mean,mean,min,max,sum,count,mean,mean,mean
filename,combination,,,,,,,,,,,,,,,,,,
scp45.txt,depth_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp45.txt,depth_first_basic,512.0,512.0,,1,0.354,0.354,0.354,,0.05,0.304,1.0,1,1,1,1,3.0,0.0,0.0
scp45.txt,depth_first_intermediate,512.0,512.0,,1,42.7254,42.7254,42.7254,,0.035,42.6903,1.0,1,1,1,1,4.0,1.0,0.25
scp45.txt,depth_first_none,512.0,512.0,,1,0.034,0.034,0.034,,0.034,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp45.txt,hybrid_df_bf_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp45.txt,hybrid_df_bf_basic,512.0,512.0,,1,0.305,0.305,0.305,,0.037,0.268,1.0,1,1,1,1,3.0,0.0,0.0
scp45.txt,hybrid_df_bf_intermediate,512.0,512.0,,1,44.4696,44.4696,44.4696,,0.034,44.4356,1.0,1,1,1,1,4.0,1.0,0.25
scp45.txt,hybrid_df_bf_none,512.0,512.0,,1,0.034,0.034,0.034,,0.034,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp45.txt,most_fractional_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp45.txt,most_fractional_basic,512.0,512.0,,1,0.342,0.342,0.342,,0.042,0.3,1.0,1,1,1,1,3.0,0.0,0.0
scp45.txt,most_fractional_intermediate,512.0,512.0,,1,39.9703,39.9703,39.9703,,0.034,39.9363,1.0,1,1,1,1,4.0,1.0,0.25
scp45.txt,most_fractional_none,512.0,512.0,,1,0.034,0.034,0.034,,0.034,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp46.txt,best_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp46.txt,best_first_basic,615.0,615.0,,1,120.0303,120.0303,120.0303,,119.7183,0.312,3366.0,3366,3366,0,1,16.0,0.0,0.0
scp46.txt,best_first_intermediate,583.0,583.0,,1,120.0203,120.0203,120.0203,,87.9886,32.0317,2397.0,2397,2397,0,1,15.0,2.0,0.1333
scp46.txt,best_first_none,inf,inf,,1,120.015,120.015,120.015,,120.015,0.0,3395.0,3395,3395,0,1,0.0,0.0,0.0
scp46.txt,breadth_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp46.txt,breadth_first_basic,615.0,615.0,,1,120.0128,120.0128,120.0128,,119.6868,0.326,3215.0,3215,3215,0,1,15.0,0.0,0.0
scp46.txt,breadth_first_intermediate,583.0,583.0,,1,120.0045,120.0045,120.0045,,90.1164,29.8881,2505.0,2505,2505,0,1,16.0,2.0,0.125
scp46.txt,breadth_first_none,inf,inf,,1,120.0142,120.0142,120.0142,,120.0142,0.0,3367.0,3367,3367,0,1,0.0,0.0,0.0
scp46.txt,depth_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp46.txt,depth_first_basic,615.0,615.0,,1,120.0152,120.0152,120.0152,,119.7472,0.268,3239.0,3239,3239,0,1,16.0,0.0,0.0
scp46.txt,depth_first_intermediate,583.0,583.0,,1,120.0717,120.0717,120.0717,,88.8121,31.2596,2481.0,2481,2481,0,1,16.0,2.0,0.125
scp46.txt,depth_first_none,inf,inf,,1,120.0058,120.0058,120.0058,,120.0058,0.0,3345.0,3345,3345,0,1,0.0,0.0,0.0
scp46.txt,hybrid_df_bf_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp46.txt,hybrid_df_bf_basic,615.0,615.0,,1,120.0045,120.0045,120.0045,,119.7255,0.279,3216.0,3216,3216,0,1,15.0,0.0,0.0
scp46.txt,hybrid_df_bf_intermediate,583.0,583.0,,1,120.0059,120.0059,120.0059,,88.3861,31.6198,2333.0,2333,2333,0,1,15.0,2.0,0.1333
